prompt,response
Oberon,"Oberon is the outermost large moon of Uranus, covered in impact craters and ice."
Rhea,"Rhea is the second-largest moon of Saturn, with a thin atmosphere of oxygen and carbon dioxide."
Dione,Dione is a moon of Saturn with bright icy cliffs caused by tectonic fractures.
Iapetus,"Iapetus is a moon of Saturn with a striking two-tone coloration: one side dark, the other bright."
Mimas,"Mimas is a small moon of Saturn, famous for its large impact crater that makes it resemble the Death Star."
Sirius,"Sirius is the brightest star in the night sky, located in the constellation Canis Major."
Betelgeuse,"Betelgeuse is a red supergiant star in Orion, nearing the end of its life."
Rigel,"Rigel is a blue supergiant star in Orion, one of the brightest stars visible from Earth."
Proxima Centauri,"Proxima Centauri is the closest known star to the Sun, located 4.24 light years away."
Alpha Centauri,Alpha Centauri is the closest star system to Earth and consists of three stars.
Polaris,"Polaris, also called the North Star, is famous for being aligned with Earth’s axis of rotation."
Vega,"Vega is a bright star in the constellation Lyra, historically used as a navigation reference."
Arcturus,"Arcturus is a giant star in the constellation Boötes, one of the brightest in the sky."
Sombrero Galaxy,The Sombrero Galaxy is a spiral galaxy with a bright nucleus and a prominent dust lane.
Whirlpool Galaxy,The Whirlpool Galaxy is a classic spiral galaxy interacting with a smaller companion galaxy.
Triangulum Galaxy,The Triangulum Galaxy is the third-largest galaxy in the Local Group after the Milky Way and Andromeda.
Orion Nebula,The Orion Nebula is a massive star-forming region visible in the constellation Orion.
Crab Nebula,The Crab Nebula is the remnant of a supernova observed in 1054 AD.
Eagle Nebula,"The Eagle Nebula contains the famous Pillars of Creation, where new stars are being born."
Helix Nebula,The Helix Nebula is a planetary nebula often nicknamed the Eye of God.
Carina Nebula,"The Carina Nebula is a large star-forming region in the southern sky, home to massive stars."
Aurora Borealis,"Aurora Borealis, or northern lights, are natural light displays caused by solar particles colliding with Earth’s atmosphere near the poles."
Aurora Australis,"Aurora Australis, or southern lights, are similar to the northern lights but occur in the southern hemisphere."
Solar Eclipse,"A solar eclipse occurs when the Moon passes between Earth and the Sun, blocking sunlight."
Lunar Eclipse,A lunar eclipse occurs when Earth casts its shadow on the Moon.
Solar Wind,The solar wind is a stream of charged particles released from the Sun’s outer atmosphere.
Cosmic Rays,Cosmic rays are high-energy particles from outer space that strike Earth’s atmosphere.
Gamma-Ray Burst,"A gamma-ray burst is a sudden, intense release of gamma radiation from a distant cosmic event."
Gravitational Waves,Gravitational waves are ripples in spacetime caused by massive accelerating objects such as colliding black holes.
Kepler Space Telescope,The Kepler Space Telescope searched for exoplanets by detecting tiny dips in starlight.
Chandra X-ray Observatory,The Chandra X-ray Observatory studies high-energy regions of the universe using X-rays.
Spitzer Space Telescope,The Spitzer Space Telescope observed the universe in infrared light until 2020.
Perseverance Rover,The Perseverance Rover is a NASA mission exploring Mars to study geology and search for signs of past life.
Curiosity Rover,"The Curiosity Rover has been exploring Mars since 2012, studying its climate and surface conditions."
New Horizons,New Horizons is a NASA mission that flew past Pluto in 2015 and is now exploring the Kuiper Belt.
Artemis Program,The Artemis Program is NASA’s plan to return humans to the Moon and eventually go to Mars.
Rosetta Mission,The Rosetta Mission was a European Space Agency mission that studied and landed a probe on comet 67P.
Parsec,A parsec is a unit of distance equal to 3.26 light years.
Redshift,"Redshift is the stretching of light waves as objects move away, used to measure the universe’s expansion."
Event Horizon,The event horizon is the boundary around a black hole beyond which nothing can escape.
Singularity,A singularity is a point inside a black hole where gravity becomes infinitely strong.
Hawking Radiation,Hawking radiation is a theoretical radiation predicted to be emitted by black holes.
Cosmic Microwave Background,"The cosmic microwave background is faint radiation left over from the Big Bang, filling the universe."
Atmosphere of Venus,Venus has a dense atmosphere composed mostly of carbon dioxide with clouds of sulfuric acid.
Surface of Mars,"The surface of Mars is cold, dusty, and covered with iron oxide that gives it a red color."
Great Red Spot,The Great Red Spot is a giant storm on Jupiter that has lasted for centuries.
Saturn’s Rings,"Saturn’s rings are made of ice particles, rock fragments, and dust."
Blue color of Neptune,Neptune appears blue because methane in its atmosphere absorbs red light and reflects blue light.
Tilt of Uranus,"Uranus is tilted on its side, with a 98-degree tilt, causing extreme seasonal changes."
Magnetosphere of Jupiter,"Jupiter’s magnetosphere is the largest structure in the solar system, extending millions of kilometers."
Temperature on Mercury,"Mercury experiences extreme temperatures, from -180°C at night to 430°C during the day."
Greenhouse effect on Venus,"Venus has a runaway greenhouse effect, making it the hottest planet in the solar system."
Seasons on Mars,"Mars has seasons similar to Earth because of its axial tilt, though they last nearly twice as long."
Europa’s Ice Crust,"Europa’s surface is covered in a thick crust of ice, possibly hiding a liquid water ocean beneath."
Cryovolcanoes on Enceladus,Enceladus has cryovolcanoes that eject plumes of water vapor and ice into space.
Titan’s Atmosphere,"Titan has a thick nitrogen-rich atmosphere, denser than Earth’s."
Methane Lakes on Titan,Titan has lakes and seas of liquid methane and ethane on its surface.
Volcanoes on Io,Io is the most volcanically active body in the solar system.
Subsurface Ocean on Ganymede,Ganymede is thought to have a subsurface ocean beneath its icy crust.
Pluto and Charon System,"Pluto and Charon are tidally locked, always showing the same face to each other."
Lunar Maria,"Lunar maria are large, dark basalt plains formed by ancient volcanic eruptions."
Far Side of the Moon,The far side of the Moon has more craters and fewer maria compared to the near side.
Impact Craters on Callisto,"Callisto’s surface is the most heavily cratered in the solar system, showing little geological activity."
Life Cycle of a Star,"A star’s life cycle includes stages: nebula, protostar, main sequence, red giant, and end state (white dwarf, neutron star, or black hole)."
Protostar,A protostar is a young star still forming within a collapsing cloud of gas and dust.
Main Sequence Star,A main sequence star is in the stable phase where nuclear fusion of hydrogen occurs in its core.
Red Giant,A red giant is a late stage of a star’s life when it expands after exhausting core hydrogen.
White Dwarf,"A white dwarf is the hot, dense remnant of a low- or medium-mass star."
Neutron Star,A neutron star is an extremely dense stellar remnant left after a supernova.
Black Hole Formation,A black hole forms when a massive star collapses under its own gravity after a supernova.
Binary Star System,A binary star system is a system where two stars orbit their common center of mass.
Open Cluster,An open cluster is a group of young stars formed from the same molecular cloud.
Globular Cluster,A globular cluster is a dense spherical collection of ancient stars bound by gravity.
Local Group,The Local Group is a small cluster of galaxies that includes the Milky Way and Andromeda.
Virgo Cluster,The Virgo Cluster is a large cluster of galaxies about 55 million light years away.
Supercluster,"A supercluster is a massive grouping of galaxy clusters, the largest structures in the universe."
Large Magellanic Cloud,The Large Magellanic Cloud is a satellite galaxy of the Milky Way visible in the southern sky.
Small Magellanic Cloud,The Small Magellanic Cloud is another irregular satellite galaxy of the Milky Way.
Barred Spiral Galaxy,A barred spiral galaxy has a central bar-shaped structure of stars extending from its core.
Elliptical Galaxy,An elliptical galaxy has an oval shape and contains older stars with little new star formation.
Irregular Galaxy,An irregular galaxy lacks a regular shape and is often rich in gas and dust.
Galactic Center,"The galactic center is the rotational center of a galaxy, usually containing a supermassive black hole."
Supermassive Black Hole,"A supermassive black hole lies at the center of most large galaxies, including the Milky Way."
Oort Cloud,The Oort Cloud is a distant spherical shell of icy objects surrounding the solar system.
Kuiper Belt,The Kuiper Belt is a region beyond Neptune filled with icy bodies and dwarf planets.
Asteroid Belt,The asteroid belt lies between Mars and Jupiter and contains many rocky objects.
Planetary Nebula,A planetary nebula is the glowing shell of gas expelled by a dying star.
Stellar Wind,Stellar wind is a continuous flow of charged particles released from a star’s atmosphere.
Accretion Disk,An accretion disk is a rotating disk of matter around a central object such as a star or black hole.
Roche Limit,The Roche limit is the distance within which a celestial body can be torn apart by tidal forces.
Solar Flares,Solar flares are sudden bursts of radiation from the Sun’s surface.
Coronal Mass Ejection,A coronal mass ejection is a massive burst of solar plasma ejected into space.
Interstellar Medium,The interstellar medium is the matter that exists in the space between stars.
Pioneer 10,Pioneer 10 was the first spacecraft to travel through the asteroid belt and fly past Jupiter.
Pioneer 11,Pioneer 11 followed a similar path to Pioneer 10 and went on to fly past Saturn.
Viking 1,Viking 1 was the first successful U.S. mission to land on Mars and send back images.
Viking 2,"Viking 2 was a companion mission to Viking 1, also landing on Mars in 1976."
Galileo Spacecraft,The Galileo spacecraft studied Jupiter and its moons in the 1990s.
Cassini Mission,The Cassini mission explored Saturn and its moons from 2004 to 2017.
Juno Mission,The Juno mission is currently studying Jupiter’s atmosphere and magnetic field.
Mars Reconnaissance Orbiter,The Mars Reconnaissance Orbiter has been mapping Mars from orbit since 2006.
Huygens Probe,"The Huygens probe landed on Titan in 2005, sending data about its surface."
OSIRIS-REx,OSIRIS-REx collected samples from the asteroid Bennu and is returning them to Earth.
Yuri Gagarin,Yuri Gagarin was the first human to travel into space in 1961.
Neil Armstrong,Neil Armstrong was the first person to walk on the Moon in 1969.
Buzz Aldrin,"Buzz Aldrin was the second person to walk on the Moon, following Neil Armstrong."
Valentina Tereshkova,"Valentina Tereshkova was the first woman in space, in 1963."
Sally Ride,"Sally Ride was the first American woman in space, in 1983."
Chris Hadfield,Chris Hadfield is a Canadian astronaut known for commanding the International Space Station.
Peggy Whitson,Peggy Whitson is a NASA astronaut who holds the U.S. record for most cumulative time in space.
SpaceX Dragon,SpaceX Dragon is a reusable spacecraft developed to carry cargo and crew to the ISS.
Blue Origin New Shepard,Blue Origin’s New Shepard is a reusable rocket designed for suborbital space tourism.
Virgin Galactic SpaceShipTwo,Virgin Galactic’s SpaceShipTwo is a commercial spacecraft designed for space tourism.
Kepler’s Laws,"Kepler’s Laws describe planetary motion, including elliptical orbits and orbital periods."
Newton’s Law of Gravitation,Newton’s Law of Gravitation states that every mass attracts every other mass with a force proportional to their masses and inversely proportional to the square of their distance.
Escape Velocity,Escape velocity is the minimum speed needed to break free from a planet’s gravitational pull.
Schwarzschild Radius,The Schwarzschild radius is the critical radius at which an object becomes a black hole.
Speed of Light,"The speed of light is the fastest possible speed, about 299,792 km per second."
Planck Constant,The Planck constant relates the energy of a photon to its frequency in quantum mechanics.
Hubble’s Law,Hubble’s Law states that galaxies are receding from us at a rate proportional to their distance.
Cosmological Constant,"The cosmological constant represents the energy density of empty space, contributing to cosmic expansion."
Entropy of the Universe,The entropy of the universe is a measure of disorder that always increases over time.
Thermodynamics in Space,"Thermodynamics in space governs how energy, heat, and entropy behave in a vacuum environment."
Atmosphere of Mars,Mars has a thin atmosphere composed mostly of carbon dioxide with traces of nitrogen and argon.
Atmosphere of Jupiter,"Jupiter’s atmosphere is mostly hydrogen and helium, with colorful cloud bands and storms."
Atmosphere of Saturn,"Saturn’s atmosphere is mainly hydrogen and helium, with ammonia clouds creating its yellow hue."
Atmosphere of Uranus,"Uranus has an atmosphere rich in hydrogen, helium, and methane, giving it a blue-green color."
Atmosphere of Neptune,"Neptune’s atmosphere contains hydrogen, helium, and methane, with supersonic winds and storms."
Magnetic field of Earth,Earth’s magnetic field protects the planet from solar wind and cosmic radiation.
Magnetic field of Mercury,"Mercury has a weak magnetic field, only about 1% the strength of Earth’s."
Core of Earth,Earth’s core is made of a solid inner core and liquid outer core of iron and nickel.
Core of Mars,"Mars’s core is smaller and likely partly liquid, contributing to its weak magnetic field."
Volcanoes on Mars,"Mars has extinct volcanoes, the largest being Olympus Mons."
Olympus Mons,"Olympus Mons is the tallest volcano in the solar system, nearly three times taller than Mount Everest."
Valles Marineris,"Valles Marineris is a massive canyon system on Mars stretching over 4,000 km."
Water on Mars,Mars has evidence of past liquid water in dried riverbeds and polar ice caps.
Seasons on Saturn,Saturn has long seasons due to its orbital period of nearly 30 Earth years.
Storms on Neptune,"Neptune experiences violent storms, including the Great Dark Spot."
Hyperion,Hyperion is an irregularly shaped moon of Saturn that tumbles chaotically in its orbit.
Proteus,"Proteus is Neptune’s second-largest moon, irregular and heavily cratered."
Nereid,Nereid is an outer moon of Neptune with a highly eccentric orbit.
Ariel,Ariel is one of Uranus’s moons with a surface marked by valleys and ridges.
Umbriel,Umbriel is a dark Uranian moon with few bright surface features.
Titania,"Titania is Uranus’s largest moon, with canyons and signs of geological activity."
Puck,"Puck is a small inner moon of Uranus, irregularly shaped."
Pan,Pan is a tiny moon of Saturn that orbits within the Encke Gap of its rings.
Atlas,Atlas is a small Saturnian moon shaped like a flying saucer.
Phoebe,Phoebe is an irregular moon of Saturn believed to be a captured object from the Kuiper Belt.
Janus,Janus is a co-orbital moon of Saturn sharing its orbit with Epimetheus.
Epimetheus,"Epimetheus is Saturn’s co-orbital partner with Janus, exchanging orbits periodically."
Himalia,"Himalia is a prograde irregular moon of Jupiter, about 170 km in diameter."
Elara,Elara is a small outer moon of Jupiter belonging to the Himalia group.
Lysithea,Lysithea is a tiny irregular moon of Jupiter discovered in 1938.
Metis,"Metis is the innermost moon of Jupiter, orbiting close to its rings."
Adrastea,"Adrastea is a small moon of Jupiter, discovered by Voyager 2 in 1979."
Amalthea,"Amalthea is Jupiter’s third moon, irregular and reddish in color."
Thebe,"Thebe is another inner moon of Jupiter, orbiting close to Amalthea."
Carme,"Carme is a retrograde irregular moon of Jupiter, part of the Carme group."
Hot Jupiter,A Hot Jupiter is a gas giant exoplanet that orbits very close to its star.
Super-Earth,A Super-Earth is an exoplanet larger than Earth but smaller than Neptune.
Rogue Planet,A Rogue Planet is a planet that drifts freely in space without orbiting a star.
Habitable Zone,The habitable zone is the region around a star where liquid water can exist on a planet’s surface.
Transit Method,The transit method detects exoplanets by measuring dips in starlight as planets pass in front of stars.
Radial Velocity Method,The radial velocity method measures tiny wobbles in stars caused by orbiting planets.
Kepler-22b,Kepler-22b is an exoplanet in the habitable zone discovered by the Kepler telescope.
Kepler-186f,Kepler-186f is an Earth-sized exoplanet in the habitable zone of its star.
TRAPPIST-1 System,"The TRAPPIST-1 system has seven Earth-sized exoplanets, three in the habitable zone."
Proxima b,"Proxima b is an exoplanet orbiting Proxima Centauri, the closest star to the Sun."
Stellar Parallax,"Stellar parallax is the apparent shift of nearby stars against distant background stars, used to measure distance."
Spectral Classification of Stars,"Stars are classified by their spectral type: O, B, A, F, G, K, M, based on temperature and color."
Luminosity of Stars,Luminosity of a star is the total amount of energy it radiates per second.
Hertzsprung-Russell Diagram,The Hertzsprung-Russell diagram plots stars by brightness and temperature to show their life stages.
Variable Stars,Variable stars change brightness over time due to internal or orbital factors.
Cosmic Inflation,Cosmic inflation is a rapid expansion of the universe that occurred fractions of a second after the Big Bang.
Observable Universe,"The observable universe is the portion of the universe we can see, about 93 billion light years across."
Multiverse Theory,The multiverse theory suggests that our universe may be one of many universes.
Dark Flow,Dark flow is a mysterious large-scale motion of galaxy clusters toward a specific region of space.
Great Attractor,The Great Attractor is a gravitational anomaly pulling galaxies in its direction.
Cosmic Web,The cosmic web is the large-scale structure of the universe formed by filaments of galaxies.
Filament of Galaxies,A filament of galaxies is a massive thread-like structure connecting clusters of galaxies.
Void in Space,"Voids are vast, nearly empty regions of space between galaxy clusters."
Ultra-Diffuse Galaxy,Ultra-diffuse galaxies are faint galaxies with very low star density.
Galaxy Merger,A galaxy merger occurs when two or more galaxies collide and combine.
SOHO Observatory,SOHO is a solar observatory spacecraft studying the Sun’s interior and atmosphere.
WISE Telescope,The WISE telescope conducted an infrared survey of the entire sky.
Gaia Mission,The Gaia mission is mapping the positions and motions of over a billion stars.
James Clerk Maxwell Telescope,The James Clerk Maxwell Telescope observes submillimeter wavelengths from Hawaii.
FAST Telescope,"FAST is the world’s largest filled-aperture radio telescope, located in China."
ALMA Observatory,ALMA is a powerful array of radio telescopes in Chile studying cold regions of the universe.
Square Kilometre Array,The Square Kilometre Array is a massive future radio telescope project spanning multiple continents.
LISA Mission,The LISA mission will study gravitational waves using space-based detectors.
Mars Express,Mars Express is a European mission studying Mars from orbit since 2003.
ExoMars Rover,The ExoMars Rover is a European mission to search for signs of life on Mars.
TESS Mission,The TESS mission searches for exoplanets using the transit method.
CHEOPS Mission,The CHEOPS mission is focused on characterizing known exoplanets.
BepiColombo,BepiColombo is a joint ESA-JAXA mission to study Mercury.
Hayabusa2,Hayabusa2 was a Japanese mission that returned samples from the asteroid Ryugu.
Akatsuki Venus Probe,Akatsuki is a Japanese probe studying the atmosphere of Venus.
Chandrayaan-1,"Chandrayaan-1 was India’s first mission to the Moon, launched in 2008."
Chandrayaan-2,"Chandrayaan-2 was India’s second lunar mission, with an orbiter and lander."
Chandrayaan-3,Chandrayaan-3 is India’s successful lunar lander mission in 2023.
Mangalyaan,"Mangalyaan, or Mars Orbiter Mission, is India’s first mission to Mars, launched in 2013."
Tiangong Space Station,Tiangong is China’s modular space station currently in orbit.
NASA,NASA is the United States’ space agency responsible for space exploration and research.
ESA,"ESA is the European Space Agency, a multinational organization for space science and missions."
ISRO,"ISRO is the Indian Space Research Organisation, known for cost-effective space missions."
Roscosmos,Roscosmos is Russia’s state space corporation overseeing space activities.
CNSA,"CNSA is the China National Space Administration, responsible for Chinese space programs."
JAXA,"JAXA is the Japan Aerospace Exploration Agency, conducting space and planetary missions."
SpaceX,SpaceX is a private company pioneering reusable rockets and crewed missions.
Blue Origin,Blue Origin is a private space company focused on space tourism and reusable rockets.
Virgin Galactic,Virgin Galactic is a commercial spaceflight company offering suborbital flights.
Axiom Space,Axiom Space is a private company building the first commercial space station.
Robert Goddard,Robert Goddard is considered the father of modern rocketry.
Konstantin Tsiolkovsky,Konstantin Tsiolkovsky was a Russian pioneer of astronautic theory.
Wernher von Braun,Wernher von Braun was a rocket engineer who led NASA’s Saturn V development.
Sergey Korolev,Sergey Korolev was the chief designer of the Soviet space program.
Elon Musk,"Elon Musk is the founder of SpaceX, aiming to colonize Mars."
Jeff Bezos,"Jeff Bezos is the founder of Blue Origin, promoting space tourism."
Richard Branson,Richard Branson founded Virgin Galactic for suborbital space tourism.
Katherine Johnson,Katherine Johnson was a NASA mathematician whose calculations were crucial for spaceflight.
Carl Sagan,Carl Sagan was an astronomer and science communicator who popularized space science.
Stephen Hawking,Stephen Hawking was a physicist known for work on black holes and cosmology.
Quantum Gravity,Quantum gravity seeks to unify general relativity and quantum mechanics.
String Theory,String theory proposes that fundamental particles are tiny vibrating strings.
Multidimensional Space,Multidimensional space theories suggest extra spatial dimensions beyond the familiar three.
Antimatter,Antimatter is composed of particles with opposite charge to normal matter.
Matter-Antimatter Asymmetry,Matter-antimatter asymmetry is the mystery of why the universe contains more matter than antimatter.
Zero-Point Energy,Zero-point energy is the lowest possible energy a quantum system can have.
Vacuum Energy,Vacuum energy is the energy density of empty space itself.
Time Dilation,Time dilation is the slowing of time experienced at high speeds or strong gravity.
Relativity of Simultaneity,Relativity of simultaneity means events that appear simultaneous in one frame may not in another.
Wormhole,A wormhole is a hypothetical tunnel connecting distant points in spacetime.
White Hole,"A white hole is a theoretical reverse of a black hole, where matter can only escape."
Cosmic Strings,Cosmic strings are hypothetical 1-dimensional defects in spacetime formed in the early universe.
Inflationary Universe,The inflationary universe theory explains the rapid expansion of space after the Big Bang.
Entropy of Black Holes,Black hole entropy is a measure of the information hidden within its event horizon.
Information Paradox,The black hole information paradox is the puzzle of whether information is destroyed in black holes.
Quantum Entanglement,Quantum entanglement is when particles remain correlated even at vast distances.
Superposition Principle,The superposition principle states that quantum systems can exist in multiple states until observed.
Decoherence,Decoherence explains how quantum systems lose superposition when interacting with the environment.
Many-Worlds Interpretation,The many-worlds interpretation suggests all possible outcomes of quantum events exist in parallel universes.
Anthropic Principle,The anthropic principle states that the universe’s laws appear fine-tuned because they allow life to exist.
Exoplanet,An exoplanet is a planet that orbits a star outside our solar system.
Hot Jupiter,"A Hot Jupiter is a gas giant exoplanet that orbits very close to its star, making it extremely hot."
Super-Earth,A Super-Earth is an exoplanet with a mass larger than Earth’s but smaller than ice giants like Neptune.
Habitable Zone,The habitable zone is the region around a star where conditions may allow liquid water to exist.
Kepler-22b,Kepler-22b is one of the first discovered potentially habitable exoplanets.
TRAPPIST-1 System,"The TRAPPIST-1 system has seven Earth-sized exoplanets, three in the habitable zone."
Proxima b,"Proxima b orbits Proxima Centauri, the closest star to the Sun."
Exoplanet Atmosphere,"Exoplanet atmospheres are studied to detect gases like oxygen, methane, and water vapor."
Transit Method,The transit method detects exoplanets by measuring dips in starlight as a planet passes in front.
Radial Velocity Method,The radial velocity method measures tiny wobbles in a star caused by orbiting planets.
Direct Imaging,Direct imaging takes pictures of exoplanets by blocking out their star’s light.
Microlensing,Microlensing detects exoplanets by observing how a star’s light is bent by gravity.
Exoplanet Biosignature,An exoplanet biosignature is a chemical sign in the atmosphere that could indicate life.
Rogue Planet,"A rogue planet is a planet not bound to any star, wandering through space."
Exoplanetary System,An exoplanetary system is a group of planets orbiting a star other than the Sun.
The Big Bang,The Big Bang is the leading theory for the origin of the universe about 13.8 billion years ago.
Cosmic Microwave Background,The cosmic microwave background is faint radiation left over from the early universe.
Inflation Theory,Inflation theory suggests the universe expanded exponentially in its first fractions of a second.
Dark Matter,Dark matter is invisible matter that makes up about 27% of the universe’s mass-energy.
Dark Energy,Dark energy is a mysterious force causing the accelerated expansion of the universe.
Multiverse Theory,Multiverse theory proposes that our universe may be one of many universes.
Observable Universe,"The observable universe is the part of the universe we can see, limited by light speed and time."
Age of the Universe,The universe is estimated to be 13.8 billion years old.
Expansion of Space,"The expansion of space stretches galaxies apart, with distant galaxies receding faster."
Cosmic Web,The cosmic web is the large-scale structure of the universe made of galaxies and dark matter.
Primordial Nucleosynthesis,Primordial nucleosynthesis created the first light elements after the Big Bang.
Cosmic Strings,Cosmic strings are hypothetical defects in spacetime formed in the early universe.
Singularity,"A singularity is a point of infinite density, such as at the center of a black hole."
Heat Death of Universe,The heat death is a possible fate where the universe reaches maximum entropy and no usable energy remains.
Big Crunch,The Big Crunch is a hypothetical scenario where the universe collapses back on itself.
Photon,A photon is a particle of light that carries electromagnetic energy.
Neutrino,A neutrino is a nearly massless particle that interacts very weakly with matter.
Cosmic Rays,Cosmic rays are high-energy particles that travel through space and strike Earth’s atmosphere.
Gamma Ray Burst,"A gamma ray burst is an intense explosion releasing enormous energy, often from collapsing stars."
Quasar,"A quasar is a bright, distant object powered by a supermassive black hole at its center."
Pulsar,A pulsar is a rapidly rotating neutron star that emits beams of radio waves.
Magnetar,A magnetar is a type of neutron star with an extremely strong magnetic field.
Higgs Boson,The Higgs boson is a particle that gives mass to other particles in the Standard Model.
Gravitational Waves,Gravitational waves are ripples in spacetime caused by massive accelerating objects.
Quantum Foam,Quantum foam refers to tiny fluctuations in spacetime at the Planck scale.
Spacetime Curvature,Spacetime curvature is how mass and energy bend the fabric of space and time.
Time Dilation,"Time dilation is the slowing of time under high speeds or strong gravity, predicted by relativity."
Relativity,"Relativity is Einstein’s theory describing how space, time, and gravity interact."
Frame Dragging,Frame dragging occurs when a rotating massive object twists nearby spacetime.
Antimatter,"Antimatter consists of particles with opposite charge to normal matter, such as positrons."
Sputnik 1,Sputnik 1 was the first artificial satellite launched by the Soviet Union in 1957.
Hubble Space Telescope,The Hubble Space Telescope has provided detailed images of distant galaxies since 1990.
James Webb Space Telescope,The James Webb Space Telescope is designed to observe the universe in infrared light.
Chandrayaan-1,"Chandrayaan-1 was India’s first mission to the Moon, launched in 2008."
Chandrayaan-2,Chandrayaan-2 attempted a soft landing on the Moon in 2019 but its lander crashed.
Mangalyaan,"Mangalyaan, or Mars Orbiter Mission, was India’s first mission to Mars, launched in 2013."
Artemis Program,The Artemis Program aims to return humans to the Moon in the 2020s.
Space Shuttle,The Space Shuttle was a reusable spacecraft used by NASA from 1981 to 2011.
International Space Station,The International Space Station is a space laboratory orbiting Earth since 1998.
Voyager Golden Record,The Voyager Golden Record carries sounds and images of Earth aboard Voyager spacecraft.
GPS Satellites,GPS satellites provide global positioning and navigation services.
Weather Satellites,"Weather satellites monitor Earth’s climate, storms, and environmental changes."
Communication Satellites,"Communication satellites relay TV, internet, and telephone signals worldwide."
